Type,Expiration Date,Date Contact Sold,Strike Price,Starting asset price,Ending Asset Price,Price Per Contract,Contracts,Contract Profit/Loss,Monthly Ending Balance,Percent Change,Profit Amount
Call,2020-08-28,2020-06-01,80.0,77.67,85.55,3.35,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2020-06-26,2020-06-01,55.0,53.63,50.1,3.39,0,0,3264.999999999998,-96.735,-96735.0
Call,2020-09-25,2020-07-01,90.0,92.18,78.06,6.85,0,0,3264.999999999998,-96.735,-96735.0
Put,2020-07-31,2020-07-01,55.0,52.58,77.43,5.01,0,0.0,3264.999999999998,-96.735,-96735.0
Call,2020-10-30,2020-08-03,85.0,84.86,75.29,5.4,0,0,3264.999999999998,-96.735,-96735.0
Put,2020-08-28,2020-08-03,80.0,77.67,85.55,5.35,0,0.0,3264.999999999998,-96.735,-96735.0
Call,2020-11-27,2020-09-01,75.0,74.7,87.19,4.4,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2020-09-25,2020-09-01,90.0,92.18,78.06,4.65,0,0,3264.999999999998,-96.735,-96735.0
Call,2020-12-24,2020-10-01,90.0,92.63,91.81,5.65,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2020-10-30,2020-10-01,85.0,84.86,75.29,6.8,0,0,3264.999999999998,-96.735,-96735.0
Call,2021-01-29,2020-11-02,90.0,92.3,85.64,6.7,0,0,3264.999999999998,-96.735,-96735.0
Put,2020-11-27,2020-11-02,75.0,74.7,87.19,4.02,0,0.0,3264.999999999998,-96.735,-96735.0
Call,2021-02-26,2020-12-01,90.0,87.66,84.51,3.6,0,0,3264.999999999998,-96.735,-96735.0
Put,2020-12-24,2020-12-01,90.0,92.63,91.81,3.7,0,0.0,3264.999999999998,-96.735,-96735.0
Call,2021-03-26,2021-01-04,85.0,86.39,77.41,4.25,0,0,3264.999999999998,-96.735,-96735.0
Put,2021-01-29,2021-01-04,90.0,92.3,85.64,4.2,0,-0.0,3264.999999999998,-96.735,-96735.0
Call,2021-04-30,2021-02-01,80.0,81.09,81.62,4.15,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2021-02-26,2021-02-01,90.0,87.66,84.51,8.0,0,0,3264.999999999998,-96.735,-96735.0
Call,2021-05-28,2021-03-01,80.0,78.55,80.08,4.0,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2021-03-26,2021-03-01,85.0,86.39,77.41,4.2,0,0,3264.999999999998,-96.735,-96735.0
Call,2021-06-25,2021-04-01,80.0,80.81,85.62,3.2,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2021-04-30,2021-04-01,80.0,81.09,81.62,3.5,0,0,3264.999999999998,-96.735,-96735.0
Call,2021-07-30,2021-05-03,95.0,93.31,106.19,4.4,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2021-05-28,2021-05-03,80.0,78.55,80.08,2.5,0,0,3264.999999999998,-96.735,-96735.0
Call,2021-08-27,2021-06-01,105.0,108.63,111.4,4.8,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2021-06-25,2021-06-01,80.0,80.81,85.62,2.15,0,0,3264.999999999998,-96.735,-96735.0
Call,2021-09-24,2021-07-01,110.0,109.99,105.8,4.65,0,0,3264.999999999998,-96.735,-96735.0
Put,2021-07-30,2021-07-01,95.0,93.31,106.19,5.5,0,0.0,3264.999999999998,-96.735,-96735.0
Call,2021-10-29,2021-08-02,100.0,102.45,120.23,6.05,0,0.0,3264.999999999998,-96.735,-96735.0
Put,2021-08-27,2021-08-02,105.0,108.63,111.4,3.98,0,0,3264.999999999998,-96.735,-96735.0
